Participant,full absences total,tardies total,left earlies total,partial total,total fully present,TOTAL DAYS,% days with any missed school,% days fully absent,# of days expressed refusal,% expressed refusal,% of days with SRB followed by attendance,chronicT2,% Full Absences A: Appointment,% Partial Absences A: Appointment,% Full Absences B: Child Sick,% Partial Absences B: Child Sick,% Full Absences C: Reluctant or Refused,% Partial Absences C: Reluctant or Refused,% Full Absences D. Child skipped/truanted,% Partial Absences D. Child skipped/truanted,% Full Absences E. Gave child day off,% Partial Absences E. Gave child day off,% Full Absences F. Kept child home for other reasons,% Partial Absences F. Kept child home for other reasons,% Full Absences G. Arranged extra holidays/vacation,% Partial Absences G. Arranged extra holidays/vacation,% Full Absences H. Had an urgent situation,% Partial Absences H. Had an urgent situation,% Full Absences I. Had other difficulties,% Partial Absences I. Had other difficulties,% Full Absences J. Religious holiday or cultural observance,% Partial Absences J. Religious holiday or cultural observance,% Full Absences K. School was closed,% Partial Absences K. School was closed,% Full Absences L. School sent my child home due to behavior,% Partial Absences L. School sent my child home due to behavior,% Full Absences M. School asked that my child stay away from home,% Partial Absences M. School asked that my child stay away from home,% Full - Other,% Partial - Other
112,4,0,0,0,16,20,0.2,0.2,7,0.35,0.428571429,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,0,0,0,0,20,20,0,0,4,0.2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,2,1,0,1,17,20,0.15,0.1,2,0.1,,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,0,1,1,2,17,19,0.105263158,0,1,0.052631579,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
117,8,2,0,2,10,20,0.5,0.4,11,0.55,,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
118,3,9,2,11,6,20,0.7,0.15,20,1,,1,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
120,0,0,1,1,19,20,0.05,0,1,0.05,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
121,1,0,0,0,19,20,0.05,0.05,3,0.15,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,0,0,1,1,17,18,0.055555556,0,1,0.055555556,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,0,0,1,1,17,18,0.055555556,0,3,0.166666667,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,4,0,0,0,15,19,0.210526316,0.210526316,9,0.473684211,,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,2,1,0,1,15,18,0.166666667,0.111111111,0,0,,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
132,1,6,5,11,8,20,0.6,0.05,0,0,,0,0,0,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
135,0,0,0,0,20,20,0,0,5,0.25,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,0,0,0,0,20,20,0,0,1,0.05,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,0,0,0,0,20,20,0,0,4,0.2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,0,1,2,3,17,20,0.15,0,2,0.1,,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
142,2,0,0,0,17,19,0.105263158,0.105263158,4,0.210526316,,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,3,7,1,8,9,20,0.55,0.15,15,0.75,,1,0,1,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
144,0,0,0,0,11,11,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
